Ah,SOC,V,A,Wh,time
176.6478,33.54%,2.575914,-140.0781,-495.7472,4540
177.0369,33.40%,2.571815,-140.074,-496.7486,4550
177.426,33.25%,2.567659,-140.0728,-497.7485,4560
177.8151,33.11%,2.563513,-140.0767,-498.7467,4570
178.2042,32.96%,2.559404,-140.0777,-499.7434,4580
178.5933,32.81%,2.555324,-140.0758,-500.7384,4590
178.9824,32.67%,2.551311,-140.0774,-501.7319,4600
179.3715,32.52%,2.547378,-140.0715,-502.7238,4610
179.7606,32.37%,2.543524,-140.0731,-503.7142,4620
180.1497,32.23%,2.539804,-140.0669,-504.7032,4630
180.5387,32.08%,2.536141,-140.074,-505.6906,4640
180.9278,31.93%,2.532644,-140.071,-506.6767,4650
181.3169,31.79%,2.529242,-140.0728,-507.6615,4660
181.706,31.64%,2.526008,-140.0747,-508.645,4670
182.0951,31.50%,2.522877,-140.0666,-509.6272,4680
182.4842,31.35%,2.519853,-140.0706,-510.6082,4690
